Temporada,Jornada,Posicion_Local,Puntos_Acumulados_Local,Local,Goles_Acumulados_Local,Visitante,Goles_Acumulados_Visitantes,Puntos_Acumulados_Visitantes,Posicion_Visitante,Resultado,Ratio_Jornada_Local,Ratio_Jornada_Visitante,Estado_Tabla_Local,Estado_Tabla_Visitante,Racha_Local,Racha_Visitante,Racha_Puntos_Local,Racha_Puntos_Visitante,Media_Goles,Media_Goles_Local,Media_Goles_Visitante,Ranking_Local,Ranking_Visitante,Goles_Encajados_Local_Acumulados,Goles_Encajados_Visitante_Acumulados,Goles_Marcados_Local_Acumulados,Goles_Marcados_Visitante_Acumulados,Diferencia_Posicion,Rendimiento_Casa_Local,Rendimiento_Fuera_Visitante,Forma_Reciente_Local,Forma_Reciente_Visitante,Porterias_Cero_Local_Acum,Porterias_Cero_Visitante_Acum,Diferencia_Puntos_Local,Diferencia_Puntos_Visitante,Ratio_Goles_por_partido_Visitante,Ratio_Goles_por_partido_Local,Rendimiento_Ranking_Visitante,Rendimiento_Ranking_Local,Diferencia_Ranking,Local_Es_Favorito,Visitante_Es_Favorito,Ranking_Local_Cuadrado,Ranking_Visitante_Cuadrado,Rendimiento_Vistante,Rendimiento_Local,Local_Es_Ofensivo,Visitante_Es_Ofensivo,Local_Es_Defensivo,Visitante_Es_Defensivo
2000,3,16,1.0,24,1.0,23,4.0,1.0,17,2,0.3333333333333333,0.3333333333333333,3,3,1,3,2,2,0.0,0.0,0.0,163,173,1,2,1,1,-1,0.5,0.5,0.5,0.5,5,6,0.0,0.0,1.3333333333333333,0.3333333333333333,57.666666666666664,54.33333333333333,-10,1,0,26569,29929,0.0784313725490196,0.020833333333333332,0,0,1,0
2000,3,11,3.0,25,1.0,37,5.0,3.0,9,2,1.0,1.0,1,1,2,3,2,2,0.0,0.0,0.0,5,281,0,2,1,1,2,1.5,1.5,1.5,1.5,5,7,0.0,0.0,1.6666666666666667,0.3333333333333333,281.0,5.0,-276,1,0,25,78961,0.1851851851851852,0.0303030303030303,0,0,1,0
2000,3,8,3.0,39,2.0,27,2.0,1.0,14,1,1.0,0.3333333333333333,2,3,3,3,2,2,0.0,0.0,0.0,269,18,5,1,1,0,-6,1.5,0.5,1.5,0.5,6,7,2.0,-2.0,0.6666666666666666,0.6666666666666666,6.0,269.0,251,0,1,72361,324,0.047619047619047616,0.08333333333333333,0,0,0,1
2000,3,1,6.0,8,6.0,12,3.0,3.0,12,1,2.0,1.0,0,1,2,2,2,2,0.0,0.0,0.0,135,190,1,1,4,2,-11,3.0,1.5,3.0,1.5,7,7,3.0,-3.0,1.0,2.0,190.0,270.0,-55,1,0,18225,36100,0.08333333333333333,2.0,0,0,0,0
2000,4,19,1.0,28,3.0,30,9.0,7.0,3,0,0.25,1.75,4,0,3,1,2,2,0.0,0.0,0.0,80,357,3,3,0,3,16,0.5,3.5,0.5,3.5,8,8,-6.0,6.0,2.25,0.75,624.75,20.0,-277,1,0,6400,127449,0.75,0.039473684210526314,0,0,0,0
2000,4,8,5.0,38,4.0,39,3.0,6.0,5,0,1.25,1.5,2,2,2,2,2,2,0.0,0.0,0.0,77,269,0,0,2,1,3,2.5,3.0,2.5,3.0,9,9,-1.0,1.0,0.75,1.0,403.5,96.25,-192,1,0,5929,72361,0.15,0.125,0,0,0,0
2000,4,14,3.0,12,3.0,32,4.0,2.0,15,2,0.75,0.5,3,3,3,3,2,2,0.0,0.0,0.0,190,237,2,4,1,1,-1,1.5,1.0,1.5,1.0,9,9,1.0,-1.0,1.0,0.75,118.5,142.5,-47,1,0,36100,56169,0.06666666666666667,0.05357142857142857,0,0,1,0
2000,4,2,7.0,19,6.0,5,6.0,6.0,4,1,1.75,1.5,0,0,2,3,2,2,0.0,0.0,0.0,169,267,0,3,2,1,-2,3.5,3.0,3.5,3.0,10,9,1.0,-1.0,1.5,1.5,400.5,295.75,-98,1,0,28561,71289,0.375,0.75,0,0,1,0
2000,4,12,3.0,3,4.0,24,1.0,1.0,20,1,0.75,0.25,1,4,2,3,2,2,0.0,0.0,0.0,271,163,1,4,3,0,-8,1.5,0.5,1.5,0.5,10,9,2.0,-2.0,0.25,1.0,40.75,203.25,108,0,1,73441,26569,0.0125,0.08333333333333333,0,0,1,0
2000,4,7,5.0,29,7.0,8,7.0,9.0,1,1,1.25,2.25,2,0,1,2,2,2,0.0,0.0,0.0,79,135,0,0,0,2,6,2.5,4.5,2.5,4.5,11,9,-4.0,4.0,1.75,1.75,303.75,98.75,-56,1,0,6241,18225,1.75,0.25,0,0,0,0
2000,4,11,4.0,23,5.0,25,1.0,3.0,13,2,1.0,0.75,1,1,1,3,2,2,0.0,0.0,0.0,173,5,3,2,3,0,-2,2.0,1.5,2.0,1.5,11,9,1.0,-1.0,0.25,1.25,3.75,173.0,168,0,1,29929,25,0.019230769230769232,0.11363636363636363,0,0,0,1
2000,4,6,6.0,37,8.0,20,3.0,2.0,16,1,1.5,0.5,2,3,2,1,2,2,0.0,0.0,0.0,281,35,0,2,4,2,-10,3.0,1.0,3.0,1.0,11,9,4.0,-4.0,0.75,2.0,17.5,421.5,246,0,1,78961,1225,0.046875,0.3333333333333333,0,0,1,0
2000,4,18,1.0,27,2.0,41,3.0,2.0,17,1,0.25,0.5,4,3,1,1,2,2,0.0,0.0,0.0,18,85,2,0,2,0,1,0.5,1.0,0.5,1.0,11,9,-1.0,1.0,0.75,0.5,42.5,4.5,-67,1,0,324,7225,0.04411764705882353,0.027777777777777776,0,0,0,1
2000,4,9,4.0,0,5.0,26,4.0,4.0,10,1,1.0,1.0,1,1,3,2,2,2,0.0,0.0,0.0,62,191,1,1,0,2,-1,2.0,2.0,2.0,2.0,12,9,0.0,0.0,1.0,1.25,191.0,62.0,-129,1,0,3844,36481,0.1,0.1388888888888889,0,0,0,0
2000,5,18,2.0,20,4.0,23,6.0,4.0,15,1,0.4,0.8,4,3,10,10,2,2,0.0,0.0,0.0,35,173,4,2,1,2,3,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,12,9,-2.0,2.0,1.2,0.8,138.4,14.0,-138,1,0,1225,29929,0.08,0.044444444444444446,0,0,0,1
2000,5,16,3.0,12,4.0,29,10.0,8.0,4,0,0.6,1.6,3,0,12,7,2,2,0.0,0.0,0.0,190,79,4,3,2,7,12,1.0,2.6666666666666665,1.0,2.6666666666666665,13,10,-5.0,5.0,2.0,0.8,126.4,114.0,111,0,1,36100,6241,0.5,0.05,0,0,0,1
2000,5,12,5.0,32,6.0,5,6.0,6.0,8,2,1.0,1.2,1,2,4,11,2,2,0.0,0.0,0.0,237,267,3,5,3,1,4,1.6666666666666667,2.0,1.6666666666666667,2.0,13,11,-1.0,1.0,1.2,1.2,320.4,237.0,-30,1,0,56169,71289,0.15,0.09999999999999999,0,0,1,0
2000,5,7,7.0,39,3.0,37,13.0,9.0,3,0,1.4,1.8,2,0,11,10,2,2,0.0,0.0,0.0,269,281,5,2,2,4,4,2.3333333333333335,3.0,2.3333333333333335,3.0,13,11,-2.0,2.0,2.6,0.6,505.8,376.59999999999997,-12,1,0,72361,78961,0.8666666666666667,0.08571428571428572,0,0,0,1
2000,5,5,8.0,30,9.0,19,8.0,10.0,1,1,1.6,2.0,2,0,8,7,2,2,0.0,0.0,0.0,357,169,2,1,6,4,4,2.6666666666666665,3.3333333333333335,2.6666666666666665,3.3333333333333335,14,11,-2.0,2.0,1.6,1.8,338.0,571.2,188,0,1,127449,28561,1.6,0.36,0,0,0,1
2000,5,13,4.0,26,4.0,27,4.0,4.0,14,0,0.8,0.8,1,3,10,11,2,2,0.0,0.0,0.0,191,18,4,2,2,0,-1,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,15,12,0.0,0.0,0.8,0.8,14.4,152.8,173,0,1,36481,324,0.05714285714285715,0.06153846153846154,0,0,0,1
2000,5,10,6.0,25,4.0,3,6.0,6.0,11,0,1.2,1.2,1,1,9,11,2,2,0.0,0.0,0.0,5,271,3,6,1,1,-1,2.0,2.0,2.0,2.0,16,13,0.0,0.0,1.2,0.8,325.2,6.0,-266,1,0,25,73441,0.10909090909090909,0.08,0,0,1,0
2000,5,19,2.0,41,4.0,38,4.0,6.0,9,0,0.4,1.2,4,1,10,4,2,2,0.0,0.0,0.0,85,77,4,2,3,2,10,0.6666666666666666,2.0,0.6666666666666666,2.0,17,14,-4.0,4.0,0.8,0.8,92.39999999999999,34.0,8,0,1,7225,5929,0.08888888888888889,0.042105263157894736,0,0,0,1
2000,5,2,9.0,8,7.0,0,7.0,7.0,6,0,1.8,1.4,0,2,8,7,2,2,0.0,0.0,0.0,135,62,1,2,5,5,-4,3.0,2.3333333333333335,3.0,2.3333333333333335,17,14,2.0,-2.0,1.4,1.4,86.8,243.0,73,0,1,18225,3844,0.2333333333333333,0.7,0,0,1,0
2000,5,20,1.0,24,2.0,28,3.0,2.0,17,1,0.2,0.4,4,3,6,6,2,2,0.0,0.0,0.0,163,80,2,5,1,3,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,17,14,-1.0,1.0,0.6,0.4,32.0,32.6,83,0,1,26569,6400,0.03529411764705882,0.02,0,0,1,0
2000,6,6,9.0,5,12.0,30,12.0,11.0,1,1,1.5,1.8333333333333333,2,0,8,4,2,2,0.0,0.0,0.0,267,357,2,3,5,3,5,3.0,3.6666666666666665,3.0,3.6666666666666665,18,14,-2.0,2.0,2.0,2.0,654.5,400.5,-90,1,0,71289,127449,2.0,0.3333333333333333,0,0,1,0
2000,6,3,10.0,19,8.0,24,4.0,4.0,16,0,1.6666666666666667,0.6666666666666666,0,3,8,11,2,2,0.0,0.0,0.0,169,163,0,6,4,1,-13,3.3333333333333335,1.3333333333333333,3.3333333333333335,1.3333333333333333,18,14,6.0,-6.0,0.6666666666666666,1.3333333333333333,108.66666666666666,281.6666666666667,6,0,1,28561,26569,0.041666666666666664,0.4444444444444444,0,0,1,0
2000,6,4,10.0,37,14.0,41,4.0,3.0,19,1,1.6666666666666667,0.5,0,4,8,6,2,2,0.0,0.0,0.0,281,85,1,2,9,1,-15,3.3333333333333335,1.0,3.3333333333333335,1.0,19,14,7.0,-7.0,0.6666666666666666,2.3333333333333335,42.5,468.33333333333337,196,0,1,78961,7225,0.03508771929824561,0.5833333333333334,0,0,1,0
2000,6,20,2.0,28,4.0,25,4.0,7.0,10,1,0.3333333333333333,1.1666666666666667,4,1,10,10,2,2,0.0,0.0,0.0,80,5,3,3,0,3,10,0.6666666666666666,2.3333333333333335,0.6666666666666666,2.3333333333333335,19,14,-5.0,5.0,0.6666666666666666,0.6666666666666666,5.833333333333334,26.666666666666664,75,0,1,6400,25,0.06666666666666667,0.03333333333333333,0,0,0,0
2000,6,11,7.0,3,6.0,20,6.0,5.0,15,2,1.1666666666666667,0.8333333333333334,1,3,8,6,2,2,0.0,0.0,0.0,271,35,2,7,5,3,-4,2.3333333333333335,1.6666666666666667,2.3333333333333335,1.6666666666666667,19,15,2.0,-2.0,1.0,1.0,29.166666666666668,316.1666666666667,236,0,1,73441,1225,0.06666666666666667,0.09090909090909091,0,0,1,0
2000,6,9,7.0,38,4.0,26,4.0,5.0,13,0,1.1666666666666667,0.8333333333333334,1,1,7,8,2,2,0.0,0.0,0.0,77,191,0,3,2,2,-4,2.3333333333333335,1.6666666666666667,2.3333333333333335,1.6666666666666667,19,15,2.0,-2.0,0.6666666666666666,0.6666666666666666,159.16666666666669,89.83333333333334,-114,1,0,5929,36481,0.05128205128205128,0.07407407407407407,0,0,1,0
2000,6,5,9.0,29,10.0,32,6.0,5.0,12,1,1.5,0.8333333333333334,2,1,5,10,2,2,0.0,0.0,0.0,79,237,0,5,3,3,-7,3.0,1.6666666666666667,3.0,1.6666666666666667,19,15,4.0,-4.0,1.0,1.6666666666666667,197.5,118.5,-158,1,0,6241,56169,0.08333333333333333,0.33333333333333337,0,0,1,0
2000,6,7,8.0,0,8.0,12,4.0,4.0,18,1,1.3333333333333333,0.6666666666666666,2,4,11,8,2,2,0.0,0.0,0.0,62,190,1,2,2,2,-11,2.6666666666666665,1.3333333333333333,2.6666666666666665,1.3333333333333333,20,15,4.0,-4.0,0.6666666666666666,1.3333333333333333,126.66666666666666,82.66666666666666,-128,1,0,3844,36100,0.037037037037037035,0.19047619047619047,0,0,1,0
2000,6,17,4.0,23,7.0,39,4.0,8.0,8,1,0.6666666666666666,1.3333333333333333,3,2,6,7,2,2,0.0,0.0,0.0,173,269,6,0,4,1,9,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.6666666666666665,20,15,-4.0,4.0,0.6666666666666666,1.1666666666666667,358.66666666666663,115.33333333333333,-96,1,0,29929,72361,0.08333333333333333,0.06862745098039216,0,0,0,1
2000,6,14,5.0,27,4.0,8,8.0,10.0,2,1,0.8333333333333334,1.6666666666666667,3,0,5,8,2,2,0.0,0.0,0.0,18,135,3,3,4,2,12,1.6666666666666667,3.3333333333333335,1.6666666666666667,3.3333333333333335,20,15,-5.0,5.0,1.3333333333333333,0.6666666666666666,225.0,15.0,-117,1,0,324,18225,0.6666666666666666,0.047619047619047616,0,0,0,0
2000,7,8,8.0,39,5.0,3,6.0,7.0,14,0,1.1428571428571428,1.0,2,3,34,36,5,3,0.0,0.0,0.0,269,271,6,6,3,1,-6,2.0,1.75,2.6666666666666665,2.3333333333333335,21,16,1.0,-1.0,0.8571428571428571,0.7142857142857143,271.0,307.4285714285714,-2,1,0,72361,73441,0.061224489795918366,0.08928571428571429,0,0,0,0
2000,7,9,8.0,20,9.0,28,8.0,5.0,17,1,1.1428571428571428,0.7142857142857143,1,3,32,20,5,3,0.0,0.0,0.0,35,80,5,7,3,4,-8,2.0,1.25,2.6666666666666665,1.6666666666666667,21,16,3.0,-3.0,1.1428571428571428,1.2857142857142858,57.142857142857146,40.0,-45,1,0,1225,6400,0.06722689075630252,0.14285714285714288,0,0,1,0
2000,7,20,3.0,41,4.0,23,9.0,7.0,12,0,0.42857142857142855,1.0,4,1,31,35,2,2,0.0,0.0,0.0,85,173,4,4,3,3,8,0.75,1.75,1.0,2.3333333333333335,21,16,-4.0,4.0,1.2857142857142858,0.5714285714285714,173.0,36.42857142857142,-88,1,0,7225,29929,0.10714285714285715,0.02857142857142857,0,0,0,0
2000,7,18,5.0,24,5.0,5,14.0,12.0,2,1,0.7142857142857143,1.7142857142857142,4,0,20,37,5,2,0.0,0.0,0.0,163,267,3,5,3,7,16,1.25,3.0,1.6666666666666667,3.0,22,16,-7.0,7.0,2.0,0.7142857142857143,457.71428571428567,116.42857142857143,-104,1,0,26569,71289,1.0,0.03968253968253968,0,0,1,0
2000,7,13,7.0,25,6.0,19,9.0,11.0,6,2,1.0,1.5714285714285714,1,2,28,23,5,5,0.0,0.0,0.0,5,169,3,4,1,4,7,1.75,2.75,2.3333333333333335,2.6666666666666665,22,16,-4.0,4.0,1.2857142857142858,0.8571428571428571,265.57142857142856,5.0,-164,1,0,25,28561,0.2142857142857143,0.06593406593406594,0,0,1,0
2000,7,16,5.0,32,7.0,30,12.0,11.0,5,2,0.7142857142857143,1.5714285714285714,3,2,15,14,2,2,0.0,0.0,0.0,237,357,9,5,3,3,11,1.25,2.75,1.6666666666666667,2.6666666666666665,22,16,-6.0,6.0,1.7142857142857142,1.0,561.0,169.28571428571428,-120,1,0,56169,127449,0.34285714285714286,0.0625,0,0,0,1
2000,7,7,10.0,8,9.0,38,5.0,8.0,10,1,1.4285714285714286,1.1428571428571428,2,1,25,12,4,2,0.0,0.0,0.0,135,77,2,2,6,2,-3,2.5,2.0,2.3333333333333335,2.6666666666666665,22,16,2.0,-2.0,0.7142857142857143,1.2857142857142858,88.0,192.85714285714286,58,0,1,18225,5929,0.07142857142857142,0.1836734693877551,0,0,0,0
2000,7,3,12.0,29,14.0,0,9.0,11.0,4,2,1.7142857142857142,1.5714285714285714,0,0,17,21,4,5,0.0,0.0,0.0,79,62,1,3,7,6,-1,3.0,2.75,3.0,3.6666666666666665,22,17,1.0,-1.0,1.2857142857142858,2.0,97.42857142857143,135.42857142857142,17,0,1,6241,3844,0.32142857142857145,0.6666666666666666,0,0,1,0
2000,7,15,6.0,26,5.0,37,15.0,13.0,1,2,0.8571428571428571,1.8571428571428572,3,0,31,33,2,5,0.0,0.0,0.0,191,281,4,3,2,5,14,1.5,3.25,2.0,4.333333333333333,22,17,-7.0,7.0,2.142857142857143,0.7142857142857143,521.8571428571429,163.7142857142857,-90,1,0,36481,78961,2.142857142857143,0.04761904761904762,0,0,0,1
2000,7,19,4.0,12,4.0,27,7.0,8.0,11,1,0.5714285714285714,1.1428571428571428,4,1,37,36,3,3,0.0,0.0,0.0,190,18,4,2,2,0,8,1.0,2.0,0.3333333333333333,2.6666666666666665,23,17,-4.0,4.0,1.0,0.5714285714285714,20.57142857142857,108.57142857142857,172,0,1,36100,324,0.09090909090909091,0.03007518796992481,0,0,0,1
