Temporada,Jornada,Posicion_Local,Puntos_Acumulados_Local,Local,Goles_Acumulados_Local,Visitante,Goles_Acumulados_Visitantes,Puntos_Acumulados_Visitantes,Posicion_Visitante,Resultado,Ratio_Jornada_Local,Ratio_Jornada_Visitante,Estado_Tabla_Local,Estado_Tabla_Visitante,Racha_Local,Racha_Visitante,Racha_Puntos_Local,Racha_Puntos_Visitante,Media_Goles,Media_Goles_Local,Media_Goles_Visitante,Goles_Encajados_Local_Acumulados,Goles_Encajados_Visitante_Acumulados,Goles_Marcados_Local_Acumulados,Goles_Marcados_Visitante_Acumulados,Diferencia_Posicion,Rendimiento_Casa_Local,Rendimiento_Fuera_Visitante,Forma_Reciente_Local,Forma_Reciente_Visitante,Porterias_Cero_Local_Acum,Porterias_Cero_Visitante_Acum,Diferencia_Puntos_Local,Diferencia_Puntos_Visitante,Ratio_Goles_por_partido_Visitante,Ratio_Goles_por_partido_Local,Local_Es_Favorito,Visitante_Es_Favorito,Rendimiento_Vistante,Rendimiento_Local,Local_Es_Ofensivo,Visitante_Es_Ofensivo,Local_Es_Defensivo,Visitante_Es_Defensivo
2000,4,16,3.0,32,4.0,5,11.0,6.0,1,1,0.75,1.5,3,0,0,6,2,2,0.0,0.0,0.0,0,5,0,1,15,3.0,2.0,3.0,2.0,9,7,-3.0,3.0,2.75,1.0,0,0,2.75,0.0625,0,0,1,0
2000,4,5,6.0,30,6.0,19,16.0,9.0,4,0,1.5,2.25,2,0,3,1,2,2,0.0,0.0,0.0,2,0,6,3,1,2.0,4.5,2.0,4.5,10,7,-3.0,3.0,4.0,1.5,0,0,1.0,0.3,0,0,0,1
2000,4,18,0.0,24,2.0,28,1.0,0.0,13,0,0.0,0.0,4,1,2,2,2,2,0.0,0.0,0.0,1,3,0,1,5,0.0,0.0,0.0,0.0,10,7,0.0,0.0,0.25,0.5,0,0,0.019230769230769232,0.027777777777777776,0,0,1,0
2000,4,3,9.0,37,31.0,41,2.0,0.0,20,0,2.25,0.0,0,4,3,2,2,2,0.0,0.0,0.0,1,2,9,1,-17,3.0,0.0,3.0,0.0,11,7,9.0,-9.0,0.5,7.75,0,0,0.025,2.5833333333333335,0,0,1,0
2000,4,1,6.0,5,11.0,30,6.0,6.0,5,0,1.5,1.5,0,2,3,0,2,2,0.0,0.0,0.0,2,0,5,0,-4,2.0,6.0,2.0,6.0,12,7,0.0,0.0,1.5,2.75,0,0,0.3,2.75,0,0,0,1
2000,4,12,3.0,27,2.0,8,14.0,9.0,2,0,0.75,2.25,1,0,1,4,2,2,0.0,0.0,0.0,1,3,2,2,10,1.5,3.0,1.5,3.0,12,7,-6.0,6.0,3.5,0.5,0,0,1.75,0.041666666666666664,0,0,1,0
2000,4,14,3.0,23,17.0,39,5.0,6.0,8,0,0.75,1.5,3,2,2,1,2,2,0.0,0.0,0.0,3,0,1,1,6,1.5,3.0,1.5,3.0,12,7,-3.0,3.0,1.25,4.25,0,0,0.15625,0.30357142857142855,0,0,0,1
2000,4,6,6.0,0,5.0,12,5.0,3.0,17,0,1.5,0.75,2,3,5,4,2,2,0.0,0.0,0.0,1,2,2,2,-11,2.0,1.0,2.0,1.0,13,7,3.0,-3.0,1.25,1.25,0,0,0.07352941176470588,0.20833333333333334,0,0,1,0
2000,4,7,6.0,3,17.0,20,14.0,3.0,15,1,1.5,0.75,2,3,3,2,2,2,0.0,0.0,0.0,2,5,5,1,-8,2.0,1.5,2.0,1.5,13,8,3.0,-3.0,3.5,4.25,0,0,0.23333333333333334,0.6071428571428571,0,0,1,0
2000,4,13,0.0,28,1.0,25,10.0,6.0,10,0,0.0,1.5,1,1,2,5,2,2,0.0,0.0,0.0,3,3,0,3,3,0.0,2.0,0.0,2.0,13,8,-6.0,6.0,2.5,0.25,0,0,0.25,0.019230769230769232,0,0,0,0
